Task Name:,Test case on Daraz Login Page,,,,,
SQA Eng:,Md. Ainal Haque Rony,,,,,
Position:,Intern ,,,,,
Organization:,Cyber - 100,,,,,
,,,,,,
Scenario id,Scenario Name,Expected Result,Actual Result,Status,Bug ID,Comments
TC - 01,"Verify Header Section (font-size, style, align, icon[size,color])",Should be,Executed,Pass,,
TC - 02,Verify Header (Become a Seller),Should be,Executed,Pass,,
TC - 03,Verify Header (Daraz Donates),Should be,Executed,Fail,,
TC - 04,Verify Header (Help & Support),Should be,Executed,Fail,,
TC - 05,Verify Header (Save more on App),Should be,Executed,Pass,,
TC - 06,Verify Header Daraz Logo,Should be,Executed,Pass,,
TC - 07,Verify Header ( Categories),Should be,Executed,Fail,,
TC - 08,"Verify Searchbox (style, icon[ height, width,padding,margin,border)",Should be,Executed,Pass,,
TC - 09,Verify Header Searchbox Working,Should be,Executed,Fail,,
TC - 10,Verify Header Login & SignIn,Should be,Executed,Pass,,
TC - 11,Verify Header EN Working,Should be,Executed,Fail,,
TC - 12,Verify Text : Welcome to Daraz! Please login.,Should be,Executed,Pass,,
TC - 13,Verify register Working,Should be,Executed,Pass,,
TC - 14,Verify Phone Number or Email* BOX,Should be,Executed,Pass,,
TC - 15,Verify Password* BOX,Should be,Executed,Pass,,
TC - 16,Verify Reset Your Password part,Should be,Executed,Pass,,
TC - 17,Verify Login with Facebook,Should be,Executed,Pass,,
TC - 18,Verify Login with Google,Should be,Executed,Pass,,
TC - 19,Verify Customer Care Part ( Help Center),Should be,Executed,Pass,,
TC - 20,Verify Customer Care Part ( How to Buy),Should be,Executed,Pass,,
TC - 21,Verify Customer Care Part ( Returns & Refunds),Should be,Executed,Pass,,
TC - 22,Verify Customer Care Part ( Contact Us),Should be,Executed,Pass,,
TC - 23,Verify Customer Care Part ( Terms & Conditions),Should be,Executed,Pass,,
TC - 24,Verify Customer Care Part ( CCMS),Should be,Executed,Pass,,
TC - 25,Verify Daraz Part ( About Daraz ),Should be,Executed,Pass,,
TC - 26,Verify Daraz Part ( Digital Payments ),Should be,Executed,Pass,,
TC - 27,Verify Daraz Part ( Daraz Card ),Should be,Executed,Pass,,
TC - 28,Verify Daraz Part ( Daraz Blog ),Should be,Executed,Pass,,
TC - 29,Verify Daraz Part ( Daraz Cares ),Should be,Executed,Pass,,
TC - 30,Verify Daraz Part ( Daraz Mart ),Should be,Executed,Pass,,
TC - 31,Verify Daraz Part ( Privacy Policy ),Should be,Executed,Pass,,
TC - 32,Verify Daraz Part ( Daraz App ),Should be,Executed,Pass,,
TC - 33,Verify Daraz Part ( Daraz Exclusive ),Should be,Executed,Pass,,
TC - 34,Verify Daraz Part ( Daraz Donates ),Should be,Executed,Pass,,
TC - 35,Verify Daraz Internationals,Should be,Executed,Pass,,
TC - 36,Verify Daraz Exclusive Deals and Offers!,Should be,Executed,Pass,,
TC - 37,Verify Daraz Earn With Daraz part,Should be,Executed,Pass,,
TC - 38,Verify Daraz Payment Method part,Should be,Executed,Fail,,
TC - 39,Verify Daraz Download app part,Should be,Executed,Fail,,
TC - 40,Verify Daraz Verified by part,Should be,Executed,Fail,,
TC - 41,Verify Daraz DBID part,Should be,Executed,Pass,,
TC - 42,Verify Follow Us part,Should be,Executed,Pass,,
TC - 43,Verify Message part,Should be,Executed,Pass,,
